country,job_field,job_title,company_name,salary,remote_location,non_remote_location,job_description,rating,post_date,job_type
Canada,ui ux-designer,UX Designer,Royal Bank of Canada,Null,Null,"Hybrid remote in Toronto, ON",Our goal is to make every RBC Wealth Management customer touchpoint consistently outstanding.,4.0,2022-07-13 20:54:24.902953,Null
Canada,ui ux-designer,UX Designer - 1 year contract,Ubisoft,Null,Null,"Montréal, QC","Respect ergonomic criteria such as information architecture, zonings, wireframes by working in concert with your UI designer;",3.8,2022-07-26 20:54:24.907727,Full-time
Canada,ui ux-designer,UI/UX Designer 6 Month Contract,Null,Null,Null,"Calgary, AB",You are passionate about technology and have familiarity with automated testing tools and procedures.,Null,2022-07-27 20:54:24.911918,Null
Canada,ui ux-designer,UI/UX Designer,Appnovation Technologies,Null,Null,"Toronto, ON","3-5 years' experience creating interfaces, large-scale digital experiences and/or applications with a digital design portfolio.",4.0,2022-07-23 20:54:24.916268,Null
Canada,ui ux-designer,Interface UX Designer Co-op/Intern,NOKIA,Null,Null,"Hybrid remote in Ottawa, ON","Work closely with product management, interaction designers and developers.",4.1,2022-07-29 20:54:24.921550,Full-time +1
Canada,ui ux-designer,UI/UX Designer (Fixed-Term Opportunity),Teranet,Null,Null,"Toronto, ON","We also market insightful property and data solutions, as well as practice management automation to thousands of customers in the real estate, financial…",3.8,2022-08-02 20:54:24.926617,Full-time
Canada,ui ux-designer,UI/UX Designer,Null,Null,Null,"Montréal, QC","We're looking for a dedicated designer, with a passion for well-crafted websites that ultimately convert into sales for our clients.",Null,2022-07-13 20:54:24.931163,Full-time
Canada,ui ux-designer,UI/UX Artist,Null,Null,+1 location,"Remote in Vancouver, BC+1 location","Minimum 2 years as a graphic designer, UX designer, UI designer or similar experience.",Null,2022-07-30 20:54:24.936592,Full-time
Canada,ui ux-designer,UI/UX Designer,Null,Null,Null,"Remote in Montréal, QC",Act as a key person for end-to-end product design process from identifying problems to launch.,Null,2022-07-25 20:54:24.940692,Null
Canada,ui ux-designer,UX Designer (Remote - Canada),Null,Null,Null,"Remote in Toronto, ON","Collaborating with our team, you will be responsible for helping make our vision a reality by taking product requirements and designing product capabilities…",Null,2022-07-13 20:54:24.944471,Full-time
Canada,software engineer,Software Engineering: Intern Opportunities for University St...,Microsoft,Null,Null,"Vancouver, BC",Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions.,4.2,2022-08-02 20:54:26.284018,Internship / Co-op
Canada,software engineer,SOFTWARE ENGINEER,Null,5288,Null,"Coquitlam, BC","Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and…",Null,2022-08-12 20:54:26.290022,Null
Canada,software engineer,Software Engineering: Fulltime Opportunities for University...,Microsoft,Null,Null,"Vancouver, BC",Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions.,4.2,2022-08-02 20:54:26.295378,Full-time
Canada,software engineer,Software Engineer,Microsoft,Null,Null,"Vancouver, BC",Experience with software development lifecycle and agile methodologies.,4.2,2022-07-13 20:54:26.300726,Full-time
Canada,software engineer,Software Engineer Intern,Roche,Null,Null,"Temporarily Remote in Mississauga, ON","Completed at least 2 years of college/university to be eligible for the program of Engineering majors (Computer Science, Computer Engineering, Software…",4.2,2022-07-29 20:54:26.306532,Full-time +1
Canada,software engineer,"Software Developer, New Grad",Siemens,Null,Null,"Remote in Concord, ON","Experience with at least one of the following: C#, C++, ASP.",4.0,2022-08-05 20:54:26.311976,Full-time
Canada,software engineer,Viva Glint Software Engineer – Vancouver,Microsoft,Null,Null,"Vancouver, BC",We are seeking software engineers to build scalable and performant user facing experiences and applications using engineering best practices.,4.2,2022-08-12 20:54:26.317439,Full-time
Canada,software engineer,Software Engineer,MasterCard,Null,Null,"Hybrid remote in Vancouver, BC","Strong foundation in algorithms, data structures, and core computer science concepts.",4.0,2022-08-11 20:54:26.323041,Full-time
Canada,software engineer,Software Engineer,Null,Null,Remote,Remote,Minimum of 2 years of experience in software development.,Null,2022-08-12 20:54:26.328427,Full-time
Canada,software engineer,"Intern, Software Engineer",Autodesk,Null,Null,"Remote in Toronto, ON",Work with your scrum team to deliver working software frequently.,4.1,2022-07-13 20:54:26.333771,Full-time +1
Canada,software engineer,SOFTWARE ENGINEER,Null,125600,Null,"Parksville, BC",Collect and document user's requirements and develop logical and physical specifications.,Null,2022-07-26 20:54:26.339008,Null
Canada,software engineer,Jr. Software Engineer - Lighthouse,KPMG,Null,Null,"Toronto, ON","Bachelor’s in computer science, Software Engineering, or related disciplines.",3.9,2022-07-13 20:54:26.344636,Full-time
Canada,software engineer,Junior Software Developer,NAV Canada,81635-99208,Null,"Ottawa, ON",At least 1-3 years of experience in software development.,4.1,2022-08-04 20:54:26.350778,Null
Canada,software engineer,Software Engineer,Null,107500,Null,"Toronto, ON",Passionate technologists with 1+ years of software development experience.,Null,2022-08-12 20:54:26.356343,"From $107,500 a year"
Canada,software engineer,"Front-End Software Engineer, Grammarly for Developers",Null,122000-239000,Remote,Remote,"Has a good knowledge of computer-science fundamentals, algorithms, and data structures.",Null,2022-07-29 20:54:26.361525,Null
Canada,data analyst,Data Analyst,Royal Bank of Canada,Null,+1 location,"Toronto, ON+1 location",Good knowledge of securities and data management industry.,4.0,2022-08-12 20:54:27.654950,Full-time
Canada,data analyst,Data Analyst,Canadian Tire Corporation,Null,Null,"Toronto, ON",Perform data quality scans on various related data sets.,3.6,2022-08-09 20:54:27.661093,Full-time
Canada,data analyst,"Analyst I, Data Science",Moneris Solutions,Null,Null,"Toronto, ON","Under direction, conduct data science analysis and reporting to analytics teams.",3.4,2022-07-13 20:54:27.666117,Full-time
Canada,data analyst,Statistical Analyst,Government of Saskatchewan,3093-3876,Null,"Regina, SK","The position will regularly develop, run, and troubleshoot Microsoft Excel formulas and SPSS queries and scripts to ensure the quality, efficiency and…",3.8,2022-07-29 20:54:27.671881,Null
Canada,data analyst,Junior Data Analyst,O2E Brands,Null,Null,"Remote in Vancouver, BC",Passion for data and visualization.,4.1,2022-07-13 20:54:27.677006,Full-time
Canada,data analyst,Data Analyst,Null,Null,+1 location,"Remote in Toronto, ON+1 location",Experience using a variety of data mining/data analysis methods.,Null,2022-08-05 20:54:27.681758,Full-time
Canada,data analyst,Data Analyst [Remote],Viafoura Inc.,Null,Null,"Remote in Toronto, ON","Formulate and lead guided, multifaceted analytic studies against large volumes of data.",5.0,2022-08-05 20:54:27.687881,Full-time
Canada,data analyst,data analyst - informatics and systems,Null,42,Null,"Oakville, ON","Research and document data requirements, data collection and administration policy, and data access rules.",Null,2022-08-12 20:54:27.693687,Null
Canada,data analyst,Data Analyst #22-198 (Job opportunity),Public Health Sudbury & Districts,3914-4602,Null,"Remote in Greater Sudbury, ON","Provides training in data analysis and data analysis tools, as appropriate.",3.8,2022-08-05 20:54:27.699807,Null
Canada,data analyst,Sr. Data Analyst (Program Admin Officer 4),Province of Nova Scotia,5827-6844,Null,"Halifax, NS",Demonstrated proficiency using SQL and experience working in data warehouse environments.,3.9,2022-08-11 20:54:27.705881,Null
Canada,data analyst,Senior Data Analyst,Deloitte,Null,Null,"Toronto, ON",Experience with producing conceptual and logical data models is an advantage.,3.9,2022-08-06 20:54:27.711081,Null
Canada,data analyst,Data Analyst (Data Management),Nova Scotia Power Inc.,Null,Null,"Halifax, NS",Building data dictionaries and classifying data for confidentiality.,4.1,2022-08-11 20:54:27.716100,Full-time
Canada,data analyst,Data Business Analyst,EDC,89000-133600,Null,"Ottawa, ON","Minimum 7 years in a business/data analysis role involving reporting/analytics projects, data warehouse and or data platforms.",3.8,2022-08-03 20:54:27.722486,Null
Canada,data analyst,Data Analyst,Coca-Cola Canada Bottling Limited,Null,Null,"Toronto, ON",1- 3 years in data analysis and model building.,3.4,2022-07-29 20:54:27.727618,Full-time
Canada,data analyst,Data Analyst,Compassion Canada,Null,Null,"Remote in London, ON",Experience in similar data analyst roles in other organizations.,4.7,2022-07-29 20:54:27.733340,Full-time
USA,product manager,"Product Design Manager, Communities",Discord,158000,+1 location,"Remote in San Francisco, CA 94107+1 location",You'll build close bonds with your corresponding engineering and product management leaders to influence product strategy and ensure world-class product…,4.4,2022-07-13 20:54:29.218298,Null
USA,product manager,Rotational Product Manager (RPM),Meta,Null,+3 locations,+3 locationsRemote,You'll also define and analyze metrics that ensure the success of products.,4.1,2022-07-19 20:54:29.224505,Full-time
USA,product manager,"Product Manager, Cart & Checkout",Under Armour,Null,Remote,Remote,"You write specifications and lead multidisciplinary teams (engineering, design, project management, etc.) to deliver features to our consumers.",3.8,2022-08-10 20:54:29.230238,Null
USA,product manager,Senior Product Manager - Home Services,Redfin,139400154100,Null,"Remote in Seattle, WA",5+ years of experience as a software product manager.,3.4,2022-08-12 20:54:29.235996,Null
USA,product manager,Junior Product Manager (Remote-US),BuildZoom,90000120000,Remote,Remote,Experience achieving business outcomes through user centered design.,3.8,2022-07-27 20:54:29.242081,Null
USA,product manager,Product Manager,ROHDE & SCHWARZ GmbH & Co. KG,Null,+3 locations,+3 locationsRemote,Null,3.9,2022-08-08 20:54:29.247904,Null
USA,product manager,Product Manager I,Disney Media & Entertainment Distribution,Null,+2 locations,"San Francisco, CA+2 locations",As a Product Manager you’ll be responsible for working collaboratively with other product managers defining feature requirements which you will deliver to…,4.1,2022-08-03 20:54:29.254218,Null
USA,product manager,Wild Health - Product Manager - Direct Hire [Remote],Braintrust,160000180000,+3 locations,"Remote in San Francisco, CA+3 locations","Reporting to the Director of Product you will help define their end-to-end product vision, strategy and execution by collaborating closely with their…",4.5,2022-07-22 20:54:29.260141,Null
USA,product manager,Product Manager,Null,Null,Remote,Remote,"Craft psychedelic therapy products that create transformational clinical outcomes and client experiences, at scale.",Null,2022-07-13 20:54:29.265794,Full-time
USA,product manager,"Product Manager, CMS (Remote)",Paramount+,Null,+7 locations,"Remote in New York, NY 10036+7 locations","Manage a backlog of user stories to deliver features, improvements and fixes most critical to meeting our business, product and team goals.",3.9,2022-07-15 20:54:29.272584,Full-time
USA,product manager,Product Manager - Remote,U.S. Bank,108545127700,+10 locations,+10 locationsRemote,Assists in the development of strategic roadmap development and prioritization in support of future features and functionality; and.,3.6,2022-08-10 20:54:29.279476,Null
USA,product manager,Associate Product Manager (Remote),Home Depot / THD,130000,+1 location,"Remote in Atlanta, GA 30301+1 location","Advocates for the end user and stakeholder by becoming associated with the product, empathizing with and understanding user needs.",3.7,2022-08-04 20:54:29.286395,Null
USA,product manager,"Product Design Manager, Enablement",Etsy,Null,Null,"Remote in Brooklyn, NY 11201",You’ll also partner with product and engineering leaders to improve operations and drive the strategy that will ultimately result in tooling that becomes the…,4.3,2022-08-10 20:54:29.292149,Full-time
USA,product manager,Product Manager,Null,65000120000,Remote,Remote,Lead cross functional product teams.,Null,2022-07-20 20:54:29.297498,Null
USA,product manager,Product Manager,NEOGOV,Null,+1 location,+1 locationRemote,Organize and manage the product backlog through the creation of epics and detailed user stories.,3.6,2022-08-12 20:54:29.304293,Full-time
USA,data scientist,Data Scientist (Remote),Yelp,88000220000,Remote,Remote,Null,3.4,2022-07-13 20:54:30.824362,Null
USA,data scientist,Data Scientist (Hybrid),State of Connecticut - Department of Public Health,99524129107,(Frog Hollow area),"Hartford, CT 06106 (Frog Hollow area)",Null,4.0,2022-08-12 20:54:30.831143,Null
USA,data scientist,Data Scientist,Commerce Bank,Null,(CBD Downtown area),"Kansas City, MO 64105 (CBD Downtown area)",Null,4.0,2022-08-06 20:54:30.837410,Full-time
USA,data scientist,data scientist (multiple openings) - Remote,Starbucks,Null,+3 locations,"Remote in Seattle, WA+3 locations",Null,3.9,2022-07-13 20:54:30.843335,Full-time
USA,data scientist,Data Scientist,Fast Radius,Null,Remote,Remote,Null,4.0,2022-08-12 20:54:30.850272,Full-time
USA,data scientist,"Data Scientist, Spotify For Artists",Spotify,Null,+4 locations,"Remote in New York, NY+4 locations",Null,4.3,2022-07-13 20:54:30.856136,Null
USA,data scientist,Data Entry Specialist,Post Acute Analytics,Null,Remote,Remote,Null,2.0,2022-08-11 20:54:30.861691,Full-time
USA,data scientist,Data Scientist,Microsoft,Null,+9 locations,"Remote in Bellevue, WA+9 locations",Null,4.2,2022-08-06 20:54:30.867553,Full-time
USA,data scientist,Data Scientist Co-Op,Bayer,Null,+9 locations,"Chesterfield, MO+9 locations",Null,4.1,2022-08-05 20:54:30.873702,Internship
USA,data scientist,Atmospheric Data Scientist,UC San Diego,63400103100,Null,"San Diego, CA",Null,4.2,2022-08-11 20:54:30.879957,Null
USA,data scientist,"Senior Data Scientist, Analytics - Messaging Experience",Discord,175000,+2 locations,"Hybrid remote in San Francisco, CA 94107+2 locations",Null,4.4,2022-07-13 20:54:30.886234,Null
USA,data scientist,Data Scientist,Johns Hopkins Applied Physics Laboratory,Null,+6 locations,"Laurel, MD 20723+6 locations",Null,4.0,2022-07-15 20:54:30.892064,Full-time
USA,data scientist,Data Scientist - Customer Facing,Null,Null,+1 location,"Remote in Boston, MA+1 location",Null,Null,2022-08-10 20:54:30.896744,Null
USA,data scientist,Data Scientist,Liberty Mutual Insurance,87900161600,+4 locations,+4 locationsRemote,Null,3.6,2022-07-13 20:54:30.903395,Null
USA,data scientist,Data Scientist 2,The Coca-Cola Company,Null,Null,"Plano, TX 75024",Null,3.9,2022-08-03 20:54:30.909234,Full-time
USA,marketing specialist,Marketing Specialist,Reynolds and Reynolds,Null,Null,"Dayton, OH 45430",Knowledge of account based marketing strategy is a plus.,3.2,2022-08-10 20:54:32.775070,Full-time
USA,marketing specialist,Marketing Specialist,Null,4640058000,Null,"Des Moines, IA",SHAZAM’s looking for the right talent to fill the position of marketing specialist.,Null,2022-08-12 20:54:32.780457,Null
USA,marketing specialist,Marketing Specialist,Delta Dental Ins.,Null,Remote,Remote,"Experience leading or supporting development and implementation of marketing strategy, tactics and approaches including direct marketing, digital and web/on…",3.5,2022-08-12 20:54:32.786750,Full-time
USA,marketing specialist,Marketing Specialist 2,UC San Diego,5700063000,(Torrey Pines area),"San Diego, CA 92093 (Torrey Pines area)","This position uses marketing concepts and multiple applications and platforms to perform non-complex market services and other related activities, such as…",4.2,2022-08-12 20:54:32.793152,Null
USA,marketing specialist,Shopper Marketing Specialist - RCCB,Reyes Coca-Cola Bottling,Null,Null,"Niles, IL 60714",Basic sales and marketing experience.,2.3,2022-07-13 20:54:32.798496,Full-time
USA,marketing specialist,Social Media Marketing Specialist,Knoxville TVA Employees Credit Union,1820,Null,"Knoxville, TN 37932",Provide social media support for marketing campaigns and promotions.,3.6,2022-07-21 20:54:32.804968,Null
USA,marketing specialist,Email Marketing Specialist,Null,Null,Remote,Remote,"Then measuring performance and lift from email marketing and setting correct attribution towards sales, conversions, and actions taken from email marketing…",Null,2022-08-12 20:54:32.809691,Null
USA,marketing specialist,"Marketing Specialist, Social Media",CRATE & BARREL,Null,Null,"Northbrook, IL",Support execution of brand marketing campaigns as needed.,3.6,2022-08-07 20:54:32.815358,Full-time
USA,marketing specialist,Marketing Specialist (Fully Remote),Null,Null,Remote,Remote,Our marketing team is responsible for using a full marketing mix to meet the needs of current and prospective clients.,Null,2022-08-10 20:54:32.820981,Full-time
USA,marketing specialist,Marketing Email Specialist,Kinetix,Null,Remote,Remote,Understanding of email or online marketing practices and principles.,3.3,2022-08-08 20:54:32.829451,Null
USA,marketing specialist,Marketing Specialist (Entry) - Strategic Marketing - M,Bayer,Null,+1 location,"Creve Coeur, MO 63141+1 location","Proven advanced experience in Adobe Creative Suite (InDesign, Photoshop, Illustrator).",4.1,2022-08-12 20:54:32.838723,Contract
USA,marketing specialist,"Marketing Specialist, NY Store",Saks Fifth Avenue,Null,Null,"New York, NY",Lead the internal Communications for their internal client group to increase awareness of marketing events and selling opportunities attached to them.,3.5,2022-08-10 20:54:32.846171,Full-time
USA,marketing specialist,Digital Marketing Specialist,Arrowhead Credit Union,80080,Null,"Rancho Cucamonga, CA 91730",The Digital Marketing Specialist role is responsible for all aspects of the organization’s digital/online marketing initiatives and communications.,3.5,2022-07-13 20:54:32.855234,"From $80,080 a year"
USA,marketing specialist,Marketing Specialist,Andretti Indoor Karting & Games,15,(Florida Center area),"Orlando, FL 32819 (Florida Center area)",Support marketing executives in organizing various projects.,3.3,2022-08-12 20:54:32.866267,Null
USA,marketing specialist,Marketing Projects Specialist,E. & J. Gallo Winery,Null,Null,"Modesto, CA",Completes basic marketing analyses and promotional analyses.,4.1,2022-08-12 20:54:32.874610,Null
USA,ui ux-designer,UX/UI DESIGNER (REMOTE!),Cella,Null,Null,"Remote in Philadelphia, PA 19147","This User Experience Designer is regarded as an expert product and service designer, as well as a user experience thought leader with strong business acumen.",3.4,2022-08-12 20:54:34.650263,Full-time +1
USA,ui ux-designer,UX/UI Designer,Evoke Health,Null,Null,"Remote in San Francisco, CA","(Keep in mind that depending on your role and brand assignment, you may be required to adhere somewhat to west coast hours.).",4.5,2022-07-13 20:54:34.656320,Null
USA,ui ux-designer,UI/UX Designer - Remote,NextEra Energy,Null,+1 location,"Remote in San Francisco, CA 94108+1 location",This is an outstanding opportunity for a team player with a customer first mindset and a proven record of designing highly engaging digital experiences to…,3.9,2022-07-14 20:54:34.661721,Full-time
USA,ui ux-designer,UI/UX DESIGNER - MOBILE AND WEB APPS,Null,85000110000,Null,"Remote in Evanston, IN","Remote with quarterly onsite meetings in Evanston office, United States of America.",Null,2022-07-13 20:54:34.666817,Null
USA,ui ux-designer,UI/UX Designer,"Berkeley Research Group, LLC",Null,(Midtown area),"New York, NY 10019 (Midtown area)","Collaborate with stakeholders, developers, and designers to guide design decisions;",3.5,2022-08-10 20:54:34.673097,Full-time
USA,ui ux-designer,UX/UI Designer,Null,Null,Null,"Remote in San Francisco, CA","(Keep in mind that depending on your role and brand assignment, you may be required to adhere somewhat to west coast hours.).",Null,2022-07-13 20:54:34.676959,Null
USA,ui ux-designer,UI / UX Designer,Null,Null,(Financial District/South Beach area),"San Francisco, CA 94111 (Financial District/South Beach area)",The successful candidate will evidence a passion for delivering adaptive and creative solutions to UI/UX design problems by staying up to date with best…,Null,2022-07-13 20:54:34.681524,Full-time
USA,ui ux-designer,UI/UX Designer,Null,Null,Null,"Jackson Heights, NY 11372",Required Skill: Designing UI for Mobile domain (iPhone/Android /Blackberry/Java EE).,Null,2022-07-13 20:54:34.687031,Null
USA,ui ux-designer,Mobile UI/UX Designer,Null,Null,Null,"Jersey City, NJ",Proven experience as a UX/UI designer with a strong portfolio.,Null,2022-07-20 20:54:34.691196,Full-time
USA,ui ux-designer,UI / UX Designer,Null,Null,Null,"San Francisco, CA",You will work closely with the product team to conceptualize and execute on designs to solve problems for our products.,Null,2022-08-12 20:54:34.695421,Full-time
USA,ui ux-designer,UI/UX Designer,Null,Null,Null,"Jackson Heights, NY",Should have experience of designing UI for Mobile domain (iPhone/Android /Blackberry/Java EE) and also web applications and web sites.,Null,2022-07-13 20:54:34.700018,Null
USA,ui ux-designer,Associate UX Designer,aPriori,Null,Remote,Remote,3-5 years as a user experience designer or other equivalent title.,4.5,2022-08-12 20:54:34.705481,Null
USA,ui ux-designer,UI/UX Designer,Breeze Airways™,Null,Null,"Remote in Cottonwood Heights, UT","Partner with the Lead UI/UX designer, Product Managers, and Software Engineers to guide our user experience.",2.3,2022-08-12 20:54:34.710193,Null
USA,ui ux-designer,UI/UX Designer,10Pearls,Null,+1 location,"Tysons Corner, VA 22182+1 location","Experience working in a multidisciplinary environment (with other designers, engineers, data scientists).",4.1,2022-08-12 20:54:34.716056,Full-time
USA,ui ux-designer,Sr. UI/UX Designer,Veryable,Null,(Downtown area),"Dallas, TX 75202 (Downtown area)",Help grow and mentor other designers on the team.,4.3,2022-08-11 20:54:34.721929,Null
USA,software engineer,"Software Engineer, Early Career",Viasat,88950,+20 locations,"Remote in Carlsbad, CA+20 locations","Experience developing software in a team environment leveraging best practices such as version control, build automation, bug tracking, test driven development…",3.7,2022-08-11 20:54:36.391668,Null
USA,software engineer,"Software Engineer, Customer Trust",Netflix,Null,+2 locations,+2 locationsRemote,We are looking for a software engineer to build and operate production quality systems at Netflix scale for detection and prevention across the fraud landscape.,3.9,2022-07-22 20:54:36.397752,Null
USA,software engineer,Junior Software Engineer,FCA,Null,+1 location,"Auburn Hills, MI 48326+1 location",Build cloud based REST APIs and micro services using serverless cloud technologies.,4.0,2022-08-12 20:54:36.403014,Null
